Countries Code,Countries,GeneralHealthCode,GeneralHealth,UnpaidCareCode,UnpaidCare,NumberOfDisabledPeopleInHouseholdCode,NumberOfDisabledPeopleInHousehold,Observation
W92000004,Wales,1,Good health,1,Provides no unpaid care,0,No people disabled under the Equality Act in household,1565731
W92000004,Wales,1,Good health,1,Provides no unpaid care,1,1 person disabled under the Equality Act in household,365524
W92000004,Wales,1,Good health,1,Provides no unpaid care,2,2 or more people disabled under the Equality Act in household,110524
W92000004,Wales,1,Good health,2,Provides 19 or less hours unpaid care a week,-8,Does not apply,0
W92000004,Wales,1,Good health,2,Provides 19 or less hours unpaid care a week,0,No people disabled under the Equality Act in household,61162
W92000004,Wales,1,Good health,2,Provides 19 or less hours unpaid care a week,1,1 person disabled under the Equality Act in household,33927
W92000004,Wales,1,Good health,2,Provides 19 or less hours unpaid care a week,2,2 or more people disabled under the Equality Act in household,12666
W92000004,Wales,1,Good health,3,Provides 20 to 49 hours unpaid care a week,-8,Does not apply,0
W92000004,Wales,1,Good health,3,Provides 20 to 49 hours unpaid care a week,0,No people disabled under the Equality Act in household,16423
W92000004,Wales,1,Good health,3,Provides 20 to 49 hours unpaid care a week,1,1 person disabled under the Equality Act in household,19393
W92000004,Wales,1,Good health,3,Provides 20 to 49 hours unpaid care a week,2,2 or more people disabled under the Equality Act in household,8631
W92000004,Wales,1,Good health,4,Provides 50 or more hours unpaid care a week,-8,Does not apply,0
W92000004,Wales,1,Good health,4,Provides 50 or more hours unpaid care a week,0,No people disabled under the Equality Act in household,5827
W92000004,Wales,1,Good health,4,Provides 50 or more hours unpaid care a week,1,1 person disabled under the Equality Act in household,39358
W92000004,Wales,1,Good health,4,Provides 50 or more hours unpaid care a week,2,2 or more people disabled under the Equality Act in household,16280
W92000004,Wales,2,Not good health,-8,Does not apply,-8,Does not apply,0
W92000004,Wales,2,Not good health,-8,Does not apply,0,No people disabled under the Equality Act in household,730
W92000004,Wales,2,Not good health,-8,Does not apply,1,1 person disabled under the Equality Act in household,1138
W92000004,Wales,2,Not good health,-8,Does not apply,2,2 or more people disabled under the Equality Act in household,1240
W92000004,Wales,2,Not good health,1,Provides no unpaid care,-8,Does not apply,0
W92000004,Wales,2,Not good health,1,Provides no unpaid care,0,No people disabled under the Equality Act in household,133479
W92000004,Wales,2,Not good health,1,Provides no unpaid care,1,1 person disabled under the Equality Act in household,290378
W92000004,Wales,2,Not good health,1,Provides no unpaid care,2,2 or more people disabled under the Equality Act in household,121334
W92000004,Wales,2,Not good health,2,Provides 19 or less hours unpaid care a week,-8,Does not apply,0
W92000004,Wales,2,Not good health,2,Provides 19 or less hours unpaid care a week,0,No people disabled under the Equality Act in household,4863
W92000004,Wales,2,Not good health,2,Provides 19 or less hours unpaid care a week,1,1 person disabled under the Equality Act in household,12544
W92000004,Wales,2,Not good health,2,Provides 19 or less hours unpaid care a week,2,2 or more people disabled under the Equality Act in household,12484
W92000004,Wales,2,Not good health,3,Provides 20 to 49 hours unpaid care a week,-8,Does not apply,0
W92000004,Wales,2,Not good health,3,Provides 20 to 49 hours unpaid care a week,0,No people disabled under the Equality Act in household,2041
W92000004,Wales,2,Not good health,3,Provides 20 to 49 hours unpaid care a week,1,1 person disabled under the Equality Act in household,6676
W92000004,Wales,2,Not good health,3,Provides 20 to 49 hours unpaid care a week,2,2 or more people disabled under the Equality Act in household,12201
W92000004,Wales,2,Not good health,4,Provides 50 or more hours unpaid care a week,-8,Does not apply,0
W92000004,Wales,2,Not good health,4,Provides 50 or more hours unpaid care a week,0,No people disabled under the Equality Act in household,1656
W92000004,Wales,2,Not good health,4,Provides 50 or more hours unpaid care a week,1,1 person disabled under the Equality Act in household,11787
W92000004,Wales,2,Not good health,4,Provides 50 or more hours unpaid care a week,2,2 or more people disabled under the Equality Act in household,31659
